LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/12/18,5:54:38,-34.2472322,18.8706685,165.17
2012/12/18,6:00:21,-34.2475802,18.8708071,172.44
2012/12/18,9:00:56,-34.2465356,18.8795532,305.33
2012/12/19,0:00:43,-34.2202729,18.8680249,663.89
2012/12/19,3:01:12,-34.2202302,18.8680384,663.74
2012/12/19,6:01:43,-34.2203576,18.8680149,666.07
2012/12/19,9:01:04,-34.2099508,18.8659634,583.72
2012/12/19,18:01:01,-34.2099473,18.8602114,552.28
2012/12/19,21:00:56,-34.1968376,18.8394724,551.92
2012/12/20,0:01:31,-34.1972291,18.8399791,434.63
2012/12/20,3:01:14,-34.1977828,18.8402852,410.08
2012/12/20,6:01:14,-34.1980026,18.8405051,422.24
2012/12/20,9:00:44,-34.1970816,18.8399402,387.54
2012/12/21,6:00:43,-34.1859769,18.8375427,412.39
2012/12/21,9:01:01,-34.1828155,18.8300551,328.94
2012/12/21,12:01:38,-34.1824036,18.8299174,305.45
2012/12/21,18:02:54,-34.1841196,18.8264064,297.49
2012/12/21,21:01:34,-34.1939371,18.8243471,43.28
2012/12/22,0:01:03,-34.1955445,18.8386541,47.77
2012/12/22,6:02:25,-34.1947736,18.8350961,47.29
2012/12/22,9:01:11,-34.1946441,18.8354217,43.52
2012/12/22,12:01:26,-34.1957207,18.8363101,182.7
2012/12/22,18:01:18,-34.1957410,18.8354637,277.24
2012/12/22,21:00:58,-34.1960915,18.8357162,269.84
2012/12/23,0:00:59,-34.1990828,18.8339721,406.03
2012/12/23,3:01:31,-34.2006686,18.8320054,317.97
2012/12/23,6:00:43,-34.2020319,18.8321015,310.71
2012/12/23,9:01:01,-34.2015603,18.8321322,332.53
2012/12/23,12:01:14,-34.1988141,18.8289097,305.78
2012/12/23,18:00:43,-34.1962357,18.8317386,303.24
2012/12/23,21:01:43,-34.1981394,18.8348287,298.49
2012/12/24,0:02:02,-34.1990921,18.8338377,416.95
2012/12/24,3:01:08,-34.1990829,18.8339378,406.01
2012/12/24,6:00:43,-34.1987829,18.8337168,406.93
2012/12/24,9:00:43,-34.1993532,18.8343077,436.61
2012/12/24,12:01:14,-34.1932576,18.8396822,273.44
2012/12/24,15:00:41,-34.1934683,18.8404379,274.63
2012/12/24,18:00:45,-34.1934164,18.8404960,274.2
2012/12/24,21:00:50,-34.1948496,18.8423142,275.08
2012/12/25,0:00:43,-34.1950734,18.8421818,323.96
2012/12/25,3:00:43,-34.1950388,18.8421783,322.49
2012/12/25,6:00:43,-34.1955164,18.8476940,477.6
2012/12/25,9:01:44,-34.2031944,18.8459717,791.63
2012/12/25,15:01:41,-34.2022558,18.8390623,663.76
2012/12/25,18:00:43,-34.2025160,18.8389518,640.85
2012/12/25,21:02:38,-34.2011585,18.8342589,584.92
2012/12/26,0:01:50,-34.2004813,18.8331672,546.02
2012/12/26,3:01:35,-34.1988995,18.8318401,306.06
2012/12/26,6:00:43,-34.1987679,18.8318431,302.64
2012/12/26,9:01:08,-34.1991767,18.8349835,479.66
2012/12/26,12:00:43,-34.1991927,18.8352502,494.84
2012/12/26,15:01:33,-34.1993734,18.8349114,495.58
2012/12/26,21:01:28,-34.1838651,18.8315421,435.16
2012/12/27,0:00:32,-34.1820452,18.8279251,435.18
2012/12/27,3:01:36,-34.1840117,18.8277565,256.37
2012/12/27,6:00:37,-34.1880612,18.8262240,436.84
2012/12/27,9:01:07,-34.1939691,18.8331228,436.64
2012/12/27,12:02:02,-34.1986900,18.8323559,436.34
2012/12/27,21:00:43,-34.1998975,18.8378913,557.69
2012/12/28,0:00:43,-34.1999007,18.8379051,557.17
2012/12/28,3:01:02,-34.1985362,18.8405959,436.54
2012/12/28,6:01:02,-34.1951242,18.8370696,335.24
2012/12/28,9:00:46,-34.1953821,18.8354652,335.84
2012/12/28,12:01:10,-34.1962901,18.8366164,264.1
2012/12/28,15:01:12,-34.1958200,18.8353036,264.34
2012/12/29,6:01:26,-34.1958202,18.8352350,264.31
2012/12/29,9:00:43,-34.1963120,18.8356812,297.9
2012/12/29,18:01:05,-34.1973205,18.8388057,334.31
2012/12/29,21:00:43,-34.1933058,18.8461982,365.21
2012/12/30,0:00:43,-34.1930295,18.8461254,356.95
2012/12/30,3:00:43,-34.1929842,18.8461424,355.45
2012/12/30,6:00:43,-34.1997503,18.8518514,595.95
2012/12/30,9:01:19,-34.1990489,18.8480535,596.59
2012/12/30,15:00:43,-34.2029272,18.8571698,461.66
2012/12/30,18:00:43,-34.1941380,18.8497637,517.59
2012/12/30,21:00:43,-34.1821306,18.8336424,453.28
2012/12/31,3:00:43,-34.1965164,18.8243270,116.85
2012/12/31,6:00:32,-34.1933089,18.8316781,117.38
2012/12/31,12:01:43,-34.1922785,18.8307804,130.79
2012/12/31,18:01:33,-34.1928785,18.8328279,132.48
2012/12/31,21:00:43,-34.1937709,18.8493938,479.68
2013/01/01,6:01:08,-34.1983255,18.8484670,620.39
2013/01/01,9:00:44,-34.2029451,18.8459432,789.63
2013/01/01,12:01:54,-34.2079150,18.8590943,789.66
2013/01/01,15:01:54,-34.1981447,18.8594422,754.88
2013/01/01,18:01:36,-34.2031718,18.8658720,562.27
2013/01/01,21:00:44,-34.2003727,18.8564194,513.92
2013/01/02,0:00:43,-34.2003668,18.8564434,513.11
2013/01/02,3:00:36,-34.2003668,18.8564434,513.11
2013/01/02,6:01:14,-34.2010395,18.8486780,744.88
2013/01/02,9:00:35,-34.2010938,18.8486850,746.69
2013/01/02,12:01:02,-34.2020960,18.8486416,750.33
2013/01/02,15:01:14,-34.2009974,18.8484644,755.3
2013/01/02,18:01:01,-34.2046806,18.8484526,632.67
2013/01/02,21:00:43,-34.2090384,18.8421574,467.59
2013/01/03,0:01:17,-34.2097380,18.8412653,467.26
2013/01/03,3:00:43,-34.2092215,18.8433617,428.82
2013/01/03,6:01:35,-34.2074552,18.8375838,400.42
2013/01/03,9:00:43,-34.2125315,18.8376476,151.97
2013/01/03,12:00:43,-34.2155978,18.8393732,336.43
