LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/4/7,07:26:00,-34.2428800,18.8622333,67,,,
2013/4/7,09:00:00,-34.2426750,18.8626050,79,,,
2013/4/7,12:00:00,-34.2425483,18.8625967,70,,,
2013/4/7,15:00:00,-34.2415950,18.8632567,73,,,
2013/4/7,18:00:00,-34.2415333,18.8632833,84,,,
2013/4/7,21:00:00,-34.2414883,18.8633417,75,,,
2013/4/8,00:00:00,-34.2420567,18.8657050,133,,,
2013/4/8,03:00:00,-34.2420783,18.8656750,99,,,
2013/4/8,06:00:00,-34.2421700,18.8657067,82,,,
2013/4/8,09:00:00,-34.2391100,18.8749767,243,,,
2013/4/8,12:00:00,-34.2380450,18.8777883,457,,,
2013/4/8,15:00:00,-34.2368083,18.8803083,566,,,
2013/4/8,21:00:00,-34.2161733,18.8728217,564,,,
2013/4/9,00:00:00,-34.2001917,18.8839667,585,,,
2013/4/9,03:00:00,-34.1764817,18.9007483,402,,,
2013/4/9,06:00:00,-34.1764533,18.9088067,410,,,
2013/4/9,12:00:00,-34.1762150,18.9113600,443,,,
2013/4/9,15:00:00,-34.1762500,18.9114500,435,,,
2013/4/9,18:00:00,-34.1767283,18.9023500,389,,,
2013/4/9,21:00:00,-34.1757383,18.9034467,365,,,
2013/4/10,00:00:00,-34.1494450,18.9253700,440,,,
2013/4/10,03:00:00,-34.1410417,18.9167883,153,,,
2013/4/10,06:00:00,-34.1258400,18.9437967,349,,,
2013/4/10,09:00:00,-34.0944850,18.9613133,678,,,
2013/4/10,12:00:00,-34.0864983,18.9652600,685,,,
2013/4/10,15:00:00,-34.0734067,18.9626200,868,,,
2013/4/10,18:00:00,-34.0657500,18.9642683,808,,,
2013/4/11,03:00:00,-34.0655200,18.9664950,849,,,
2013/4/11,09:00:00,-34.0617000,18.9666267,751,,,
2013/4/11,21:00:00,-34.0537967,18.9367533,259,,,
2013/4/12,00:00:00,-34.0657867,18.9230083,170,,,
2013/4/12,03:00:00,-34.0629333,18.9030000,120,,,
2013/4/12,06:00:00,-34.0636167,18.9040450,123,,,
2013/4/12,09:00:00,-34.0606183,18.9065800,140,,,
2013/4/12,12:00:00,-34.0609333,18.9068350,133,,,
2013/4/12,15:00:00,-34.0609000,18.9067750,150,,,
2013/4/12,18:00:00,-34.0635900,18.9040033,143,,,
2013/4/12,21:00:00,-34.0643683,18.9156367,136,,,
2013/4/13,00:00:00,-34.0784450,18.9287700,260,,,
2013/4/13,03:00:00,-34.0794317,18.9316000,253,,,
2013/4/13,06:00:00,-34.0795067,18.9317033,242,,,
2013/4/13,09:00:00,-34.0795650,18.9315917,256,,,
2013/4/13,12:00:00,-34.0795900,18.9315967,250,,,
2013/4/13,15:00:00,-34.0795483,18.9317017,249,,,
2013/4/13,18:00:00,-34.0794633,18.9316917,256,,,
2013/4/13,21:00:00,-34.0793850,18.9316750,246,,,
2013/4/14,00:00:00,-34.0793717,18.9316700,244,,,
2013/4/14,03:00:00,-34.0793517,18.9316250,251,,,
2013/4/14,06:00:00,-34.0793700,18.9316583,241,,,
2013/4/14,09:00:00,-34.0794683,18.9316967,250,,,
2013/4/14,12:00:00,-34.0795650,18.9316467,253,,,
2013/4/14,15:00:00,-34.0795517,18.9316833,250,,,
2013/4/14,18:00:00,-34.0794050,18.9317717,263,,,
2013/4/14,21:00:00,-34.0793950,18.9316750,246,,,
2013/4/15,00:00:00,-34.0794217,18.9316817,248,,,
2013/4/15,03:00:00,-34.0793467,18.9317050,249,,,
2013/4/15,06:00:00,-34.0794067,18.9316333,233,,,
2013/4/15,09:00:00,-34.0794233,18.9316833,261,,,
2013/4/15,12:00:00,-34.0794417,18.9316950,251,,,
2013/4/15,15:00:00,-34.0794283,18.9316967,247,,,
2013/4/15,18:00:00,-34.0806450,18.9554250,540,,,
2013/4/15,21:00:00,-34.0803783,18.9656533,760,,,
2013/4/16,03:00:00,-34.0936467,18.9616417,637,,,
2013/4/16,06:00:00,-34.0949817,18.9622417,701,,,
2013/4/16,09:00:00,-34.0875383,18.9887417,1094,,,
2013/4/16,12:00:00,-34.0874517,18.9885517,1065,,,
2013/4/16,18:00:00,-34.0786850,18.9976500,866,,,
2013/4/17,00:00:00,-34.0790100,18.9970283,830,,,
2013/4/18,03:00:00,-34.1468467,18.9056967,101,,,
2013/4/18,06:00:00,-34.1668950,18.8741083,391,,,
2013/4/18,09:00:00,-34.1758783,18.8650367,436,,,
2013/4/18,12:00:00,-34.1756633,18.8649183,409,,,
2013/4/18,15:00:00,-34.1747550,18.8606500,392,,,
2013/4/18,18:00:00,-34.1720333,18.8534017,239,,,
2013/4/18,21:00:00,-34.1830250,18.8271117,173,,,
2013/4/19,00:00:00,-34.1924700,18.8222600,6,,,
2013/4/19,03:00:00,-34.2340367,18.8521867,34,,,
2013/4/19,06:00:00,-34.2455083,18.8702917,110,,,
2013/4/19,09:00:00,-34.2455350,18.8703117,121,,,
2013/4/19,12:00:00,-34.2455083,18.8702900,108,,,
2013/4/19,15:00:00,-34.2455300,18.8702867,106,,,
2013/4/19,18:00:00,-34.2455200,18.8703233,92,,,
2013/4/19,21:00:00,-34.2583233,18.8693817,304,,,
2013/4/20,00:00:00,-34.2609983,18.8685767,345,,,
2013/4/20,03:00:00,-34.2618683,18.8678750,345,,,
2013/4/20,06:00:00,-34.2660300,18.8700283,653,,,
2013/4/20,09:00:00,-34.2700617,18.8645350,855,,,
2013/4/20,12:00:00,-34.2778233,18.8704950,542,,,
2013/4/20,15:00:00,-34.2778217,18.8704767,538,,,
2013/4/20,18:00:00,-34.2859000,18.8835983,308,,,
2013/4/20,21:00:00,-34.3298817,18.9218433,457,,,
2013/4/21,03:00:00,-34.3202383,18.9764367,50,,,
2013/4/21,06:00:00,-34.3282650,18.9944267,41,,,
2013/4/21,09:00:00,-34.3283817,18.9945700,48,,,
2013/4/21,12:00:00,-34.3284050,18.9944167,50,,,
2013/4/21,15:00:00,-34.3284100,18.9945233,42,,,
2013/4/21,18:00:00,-34.3283767,18.9945200,31,,,
2013/4/21,21:00:00,-34.3284750,18.9945200,84,,,
2013/4/22,00:00:00,-34.3277467,18.9952400,89,,,
2013/4/22,03:00:00,-34.3277867,18.9952800,85,,,
2013/4/22,06:00:00,-34.3201800,19.0003783,268,,,
2013/4/22,09:00:00,-34.2965017,18.9939250,337,,,
2013/4/22,12:00:00,-34.2964317,18.9939433,323,,,
2013/4/22,15:00:00,-34.2964383,18.9939783,312,,,
2013/4/22,18:00:00,-34.2689683,19.0006433,120,,,
2013/4/22,21:00:00,-34.2389683,19.0064250,186,,,
2013/4/23,00:00:00,-34.2292150,19.0049417,229,,,
2013/4/23,03:00:00,-34.2241317,18.9967217,237,,,
2013/4/23,06:00:00,-34.2256100,18.9557217,290,,,
2013/4/23,12:00:00,-34.2268567,18.9316233,,,,
2013/4/23,15:00:00,-34.2261200,18.9291600,634,,,
2013/4/23,18:00:00,-34.2212633,18.9108617,981,,,
2013/4/23,21:00:00,-34.1988100,18.8783200,524,,,
2013/4/24,00:00:00,-34.1765733,18.8987583,347,,,
2013/4/24,03:00:00,-34.1655583,18.9000417,381,,,
2013/4/24,06:00:00,-34.1617083,18.8949433,486,,,
