LMT Date,LMT Time,Latitude,Longitude
2013/7/13,18:00:00,-33.5921950,19.2527383
2013/7/13,21:00:00,-33.5919667,19.2527083
2013/7/14,00:00:00,-33.5920133,19.2527283
2013/7/14,03:00:00,-33.5792150,19.2241483
2013/7/14,06:00:00,-33.5788883,19.2233783
2013/7/14,09:00:00,-33.5807733,19.2248750
2013/7/14,12:00:00,-33.5804250,19.2249750
2013/7/14,15:00:00,-33.5787933,19.2242767
2013/7/14,18:00:00,-33.5789383,19.2234983
2013/7/14,21:00:00,-33.5788950,19.2234333
2013/7/15,00:00:00,-33.5788633,19.2233517
2013/7/15,03:00:00,-33.5788900,19.2234150
2013/7/15,06:00:00,-33.5789833,19.2237150
2013/7/15,12:00:00,-33.5765567,19.2208583
2013/7/15,15:00:00,-33.5733600,19.2193633
2013/7/15,18:00:00,-33.5665567,19.2163733
2013/7/15,21:00:00,-33.5585267,19.2016067
2013/7/16,00:00:00,-33.5585083,19.2015450
2013/7/16,03:00:00,-33.5638517,19.1982667
2013/7/16,06:00:00,-33.5637283,19.1977967
2013/7/16,09:00:00,-33.5638000,19.1978267
2013/7/16,12:00:00,-33.5635633,19.1975467
2013/7/16,15:00:00,-33.5638183,19.1970917
2013/7/16,21:00:00,-33.5636767,19.1978800
2013/7/17,00:00:00,-33.5637350,19.1977600
2013/7/17,03:00:00,-33.5637033,19.1979417
2013/7/17,06:00:00,-33.5638433,19.1971567
2013/7/17,09:00:00,-33.5639133,19.1971817
2013/7/17,12:00:00,-33.5638933,19.1971283
2013/7/17,15:00:00,-33.5639067,19.1971883
2013/7/17,18:00:00,-33.5639083,19.1971617
2013/7/17,21:00:00,-33.5640067,19.1971650
2013/7/18,00:00:00,-33.5638283,19.1970950
2013/7/18,03:00:00,-33.5638983,19.1972083
2013/7/18,06:00:00,-33.5638200,19.1972250
2013/7/18,09:00:00,-33.5638600,19.1971217
2013/7/18,12:00:00,-33.5637617,19.1969933
2013/7/18,15:00:00,-33.5638033,19.1969550
2013/7/18,18:00:00,-33.5637933,19.1970500
2013/7/18,21:00:00,-33.5637650,19.1977433
2013/7/19,00:00:00,-33.5636967,19.1976183
2013/7/19,03:00:00,-33.5637650,19.1976583
2013/7/19,06:00:00,-33.5635617,19.1979000
2013/7/19,09:00:00,-33.5637050,19.1978667
2013/7/19,12:00:00,-33.5601900,19.1988200
2013/7/19,15:00:00,-33.5601967,19.1987950
2013/7/19,18:00:00,-33.5564617,19.1996800
2013/7/19,21:00:00,-33.5478717,19.2035167
2013/7/20,00:00:00,-33.5478000,19.2034783
2013/7/20,03:00:00,-33.5478850,19.2035067
2013/7/20,09:00:00,-33.5476833,19.2033367
2013/7/20,12:00:00,-33.5472967,19.2024117
2013/7/20,15:00:00,-33.5473633,19.2025033
2013/7/20,18:00:00,-33.5473150,19.2028550
2013/7/20,21:00:00,-33.5528217,19.2057133
2013/7/21,00:00:00,-33.5527350,19.2058767
