LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/16,3:00:45,-33.8429758,19.1190872,357.95
2012/9/16,6:00:51,-33.8416846,19.1179426,357.87
2012/9/16,9:00:44,-33.8397583,19.1175172,358.73
2012/9/16,12:01:40,-33.8398315,19.1175725,357.39
2012/9/16,15:01:08,-33.8395581,19.1173982,337.97
2012/9/16,18:01:03,-33.8397647,19.1174701,352.29
2012/9/16,21:00:44,-33.8402229,19.1178570,346.51
2012/9/17,0:01:03,-33.8402110,19.1178707,344.89
2012/9/17,3:01:10,-33.8402594,19.1178162,347.65
2012/9/17,6:01:04,-33.8407425,19.1211037,344.94
2012/9/17,9:00:44,-33.8407848,19.1210168,361.29
2012/9/17,12:00:44,-33.8409537,19.1208708,365.66
2012/9/17,15:00:44,-33.8410410,19.1208450,358.41
2012/9/17,18:00:44,-33.8410284,19.1207837,355.11
2012/9/17,21:00:44,-33.8376628,19.1130404,340.89
2012/9/18,0:00:44,-33.8242801,19.1078759,404.01
2012/9/18,3:00:44,-33.8180482,19.1014130,431.5
2012/9/18,6:00:58,-33.8065357,19.0853272,427.99
2012/9/18,9:00:43,-33.8068915,19.0853730,340.3
2012/9/18,12:00:56,-33.8068289,19.0854169,339.89
2012/9/18,15:00:44,-33.8056731,19.0787669,360.61
2012/9/18,18:00:43,-33.8064085,19.0786760,334.05
2012/9/18,21:00:44,-33.8086223,19.0775927,335.76
2012/9/19,0:01:12,-33.8086075,19.0775586,334.62
2012/9/19,3:01:32,-33.8088481,19.0782304,463.71
2012/9/19,6:02:11,-33.8083173,19.0778682,459.98
2012/9/19,9:00:44,-33.8086068,19.0776096,336.53
2012/9/19,12:00:44,-33.8084556,19.0777972,327.44
2012/9/19,18:03:43,-33.8084230,19.0777510,343.61
2012/9/19,21:00:57,-33.8084027,19.0776383,341.58
2012/9/20,0:00:54,-33.8082974,19.0775401,324.88
2012/9/20,3:00:53,-33.8082818,19.0775461,332.86
2012/9/20,9:01:38,-33.8083500,19.0776771,325.15
2012/9/20,12:01:16,-33.8084225,19.0777835,325.73
2012/9/20,15:01:28,-33.8084002,19.0776638,325.82
