LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/18,02:45:00,-33.8088700,19.3657500,674
2012/9/18,03:00:00,-33.8088867,19.3657633,676
2012/9/18,06:00:00,-33.8088033,19.3654867,668
2012/9/18,09:00:00,-33.8074850,19.3660433,653
2012/9/18,12:00:00,-33.8074650,19.3660733,665
2012/9/18,15:00:00,-33.8075267,19.3661000,658
2012/9/18,18:00:00,-33.8072700,19.3658833,633
2012/9/19,00:00:00,-33.8071650,19.3657850,597
2012/9/19,03:00:00,-33.8055233,19.3657333,513
2012/9/19,06:00:00,-33.8063750,19.3744600,428
2012/9/19,09:00:00,-33.8109767,19.3747733,396
2012/9/19,12:00:00,-33.8110467,19.3747900,394
2012/9/19,15:00:00,-33.8110567,19.3748667,402
2012/9/19,18:00:00,-33.8111833,19.3748267,394
2012/9/19,21:00:00,-33.8111367,19.3748000,378
2012/9/20,00:00:00,-33.8112350,19.3748200,382
2012/9/20,03:00:00,-33.8112283,19.3748067,387
2012/9/20,06:00:00,-33.8111717,19.3747867,384
2012/9/20,09:00:00,-33.8160717,19.3711250,505
2012/9/20,12:00:00,-33.8160233,19.3711717,509
2012/9/20,15:00:00,-33.8161367,19.3709400,496
2012/9/20,18:00:00,-33.8167617,19.3712050,509
2012/9/20,21:00:00,-33.8349550,19.3907667,232
2012/9/21,00:00:00,-33.8341267,19.3885867,221
2012/9/21,03:00:00,-33.8341850,19.3884533,260
2012/9/21,06:00:00,-33.8407767,19.3921967,344
2012/9/21,09:00:00,-33.8422150,19.3916567,293
2012/9/21,12:00:00,-33.8422200,19.3916350,295
2012/9/21,15:00:00,-33.8424483,19.3920750,308
2012/9/21,18:00:00,-33.8424283,19.3922367,316
2012/9/21,21:00:00,-33.8360283,19.3982267,384
2012/9/22,00:00:00,-33.8236333,19.4047683,216
2012/9/22,03:00:00,-33.8141067,19.3992667,216
2012/9/22,06:00:00,-33.8037267,19.4118867,221
2012/9/22,09:00:00,-33.8036183,19.4119500,235
2012/9/22,12:00:00,-33.8037067,19.4119417,239
2012/9/22,15:00:00,-33.8037300,19.4118583,223
2012/9/22,18:00:00,-33.8036967,19.4119567,241
2012/9/22,21:00:00,-33.7989817,19.4198867,239
2012/9/23,00:00:00,-33.8201967,19.4040567,209
2012/9/23,03:00:00,-33.8126367,19.3761500,321
